,Nombres,Apellidos,id,Tipo de id,Genero,Telfono,Correo,Tipo de sangre,Edad,Fecha Nacimiento,Pais de Nacimiento,Direccion de Residencia,Departamento de Residencia,Municipio de Residencia,Codigo Postal,Altura,Peso,Tien Hijos,Cantidad de Hijos,Ha tenido hijos no nacidos,Nivel de educacion,Profesion,Tipo de estudio,Nivel de ingles,# Idiomas que domina,Estado Civil,Estrato Social,Tiene Vehiculos,Cantidad de Vehiculos,Tipo de Vehiculo,Propiedad de vivienda,Tipo de Vivienda,Estado de la vivienda,Tiene agua potable,Vivienda compartida,Cantidad de Habitaciones,Tiene EPS,Tipo de EPS,Religion,Grupo etnico,Estado Laboral,Tiene discapacidades,Tipo de discapacidad,Tiene Mascotas,Tipo de mascota,Cantidad de mascotas,Tiene libreta militar,Tipo de alergias,Ha sufrido de escasez de alimentos,Razon de la escasez de alimentos
57,Michel Ana,Agudelo Castrillón,331857295,PaP,F,3105586172,m_agudelo05@yahoo.com,AB-,52,1971-08-02,Venezuela,Carrera 2 Sur # 4M-4 Este, Cauca,Sotará Paispamba,199281,1.98,54,True,3,True,Posgrado,Peón de jardinería y horticultura,Particular,C2,2,Divorciad@,6,False,0,N/A,Arriendo,Casa,Contruida,True,False,otro,False,SISBEN,Musulman,N/A,Desempleado,False,N/A,True,Anfibio,5,N/A,Polen,True,Carencia Capital
58,Ximena Catalina,González Velásquez,1197807049,CE,F,3107329005,xime_g8@yahoo.com,A+,65,1958-06-11,Colombia,Cl. 146 # 12-5 Sur, Tolima,Cunday,739687,1.53,72,False,0,True,Posgrado,Miembro del poder legislativo,Particular,C2,2,Viud@,2,False,0,N/A,N/A,Orden Religiosa,Otro,False,False,otro,False,SISBEN,Musulman,N/A,Pensionado,True,Sensorial,False,N/A,0,N/A,Medicamentos,False,N/A
59,Derly María,Maldonado Martínez,372975694,CE,F,3102530919,dermald8@gmail.com,AB-,39,1984-08-10,Colombia,Cl. 182 # 91-9 Este, Tolima,San Antonio,733322,1.70,79,False,0,False,N/A,N/A,N/A,B2,mas,Solter@,3,False,0,N/A,Arriendo,Casa,Contruccion Activa,False,False,otro,True,Salud Vida,Budista,Negro,Desempleado,True,Fisicas,False,N/A,0,N/A,Alimentos,True,Otro
60,David Andrés,Pérez Contreras,786102117,CC,M,3009779089,david-pere3210@hotmail.com,B+,81,1942-06-21,España,Carrera 97 # 68-30 Este, Caldas,Samaná,171539,1.60,70,False,0,False,Tecnologo,Maestro de enseñanza primaria,Particular,N/A,1,Solter@,2,False,0,N/A,Arriendo,Apartamento,Construccion Paralizada,True,False,otro,False,SISBEN,Cristiana,Afroamericano,Pensionado,False,N/A,True,Pajaros,2,False,Medicamentos,False,N/A
61,Valentina María,Salcedo Sarmiento,1172683282,CC,F,3003441732,v-salced02@hotmail.com,O-,42,1981-06-23,Colombia,Carrera 26 # 9-2, Casanare,Maní,851818,1.86,78,False,0,False,Maestria,Trabajador de explotaciones de acuicultura,Rural,B1,2,Divorciad@,5,False,0,N/A,Propia,Casa,Contruccion Activa,False,False,4,False,SISBEN,Budista,Negro,Empleado,True,Psiquicas,True,Perro,5,N/A,Fragancias,False,N/A
62,José Leonel,García Fernández,714489359,CC,M,3035422549,josg6870@outlook.com,A-,75,1948-04-05,Mexico,Calle 173U Bis L # 4-2 Este, Boyacá,Ramiriquí,152191,1.50,60,True,2,True,Bachiller,Operador de máquinas para fabricar productos de caucho,Particular,B1,4,Casad@,2,False,0,N/A,Familiar,Casa,Abandono,False,True,otro,False,SISBEN,Musulman,N/A,Pensionado,True,Fisicas,True,Pez,1,False,Alimentos,True,Otro
63,Juan Emilio,Rodríguez Bautista,552521500,CE,M,3194488023,jua.rodr64@outlook.com,AB+,49,1974-03-21,Colombia,Cr. 70 # 7-42 Sur, Bolívar,Turbaná,134124,1.77,67,True,2,True,Posgrado,Tramper,Particular,B2,4,Viud@,4,True,3,moto,N/A,internado,Construccion Paralizada,True,False,3,True,Comfenalco,Cristiana,Mulato,Empleado,True,Sensorial,True,Lagarto,1,True,Gluten,True,Familia muy grande
64,Jennifer Tatiana,Sánchez Osorio,467752031,CC,F,3186893184,jen.san5183@gmail.com,B+,55,1968-09-13,Colombia,Avenida carrera 168 # 1-26 Sur, Cundinamarca,Mosquera,258740,1.78,79,True,2,True,Bachiller,Químico,Rural,C2,2,Casad@,1,False,0,N/A,Propia,Apartamento,Contruccion Activa,True,True,otro,True,Salud Vida,Maradoniano,Negro,Desempleado,False,N/A,True,Pajaros,5,N/A,Fragancias,True,Familia muy grande
65,Mariana María,Bonilla Alvarado,165974407,CC,F,3126119433,ma-boni4@outlook.com,AB+,65,1958-08-08,Colombia,Cr. 79 # 7Y-5 Sur, Santander,Valle de San José,684842,1.74,79,False,0,False,N/A,N/A,N/A,B2,4,Union Libre,4,True,3,moto,N/A,Campamento,Construccion Paralizada,True,False,4,True,Famisanar,N/A,N/A,Pensionado,True,Psiquicas,True,Lagarto,4,N/A,Moho,True,Carencia Capital
66,María María,Castaño Moreno,825016879,CE,F,3249605693,macasta450@yahoo.com,B+,49,1974-01-12,Colombia,Av. Caimito # 95-28 Este, Sucre,Caimito,705808,1.94,74,False,0,True,Tecnico,Peón de carga,Urbana,B2,3,Viud@,1,False,0,N/A,Arriendo,Casa,En Ruina,False,False,1,False,SISBEN,Testigo de Jehova,Negro,Independiente,False,N/A,False,N/A,0,N/A,Moho,True,Perdidad de cultivo
67,Óscar Ever,Burbano Velásquez,494442245,CE,M,3025745401,o-burbano270@hotmail.com,B-,28,1995-12-24,España,Calle 4ª # 47-31 Sur, Norte de Santander,Santiago,545553,1.63,52,True,1,False,N/A,N/A,N/A,A1,3,Solter@,1,False,0,N/A,Arriendo,Casa,Contruccion Activa,False,True,otro,False,SISBEN,Testigo de Jehova,N/A,Independiente,False,N/A,False,N/A,0,False,Alimentos,True,Perdidad de cultivo
68,Pedro Juan,Gómez Bernal,272509632,PaP,M,3004912467,p-gomez@gmail.com,O+,58,1965-09-28,España,Cr. 97X # 1-56 Este, Cundinamarca,Pacho,250108,1.66,84,False,0,True,N/A,N/A,N/A,N/A,1,Casad@,2,False,0,N/A,Arriendo,Apartamento,Construccion Paralizada,True,False,2,False,SISBEN,Budista,Afrocolombiano,Empleado,False,N/A,True,Gato,5,False,Alimentos,True,Carencia de trabajo
69,Paula Miriam,Torres Rincón,385505042,CC,F,3242504753,pautor897@outlook.com,B+,33,1990-06-21,Argentina,Calle 6ª # 72-2, Casanare,Tauramena,855686,1.62,56,False,0,False,Bachiller,Fabricante de instrumentos musicales,Rural,B1,4,Divorciad@,1,False,0,N/A,Propia,Apartamento,Abandono,True,False,2,False,SISBEN,Budista,Negro,Empleado,True,Fisicas,False,N/A,0,N/A,Polvo,True,Otro
70,Dario Juan,Zapata Chaparro,327497069,CE,M,3215957617,dar-zapata168@outlook.com,A-,72,1951-08-16,Venezuela,Calle 92C # 2-56, Antioquia,Nariño,053397,1.71,76,False,0,False,Tecnologo,Parquetero y colocador de suelos,Rural,N/A,1,Casad@,2,False,0,N/A,Propia,Apartamento,En Ruina,True,False,4,False,SISBEN,Catolica,Mulato,Pensionado,True,Psiquicas,False,N/A,0,False,Cosmeticos,False,N/A
71,Gregorio Rafael,Gómez Ramírez,574158513,CC,M,3004552753,gregog3@outlook.com,B-,74,1949-10-02,Venezuela,Avenida calle 66 # 90-5 Sur, Nariño,Francisco Pizarro,528657,1.89,52,True,2,True,Tecnico,Soldador y oxicortador,Particular,A1,4,Union Libre,1,False,0,N/A,Propia,Casa,Contruida,True,True,2,False,SISBEN,Cristiana,N/A,Pensionado,True,Fisicas,False,N/A,0,False,Detergentes Ropa,True,Familia muy grande
72,Fernanda Marina,Gaitán Beltrán,524082530,CC,F,3509823216,fe-ga4910@outlook.com,AB+,62,1961-10-09,Colombia,Cr. 57A Sur # 87-5 Este, Chocó,Medio Atrato,279729,1.57,86,True,2,True,N/A,N/A,N/A,N/A,1,Divorciad@,2,False,0,N/A,N/A,Residencia Estudiantil,Contruccion Activa,False,False,1,True,Comfenalco,Budista,Afroamericano,Pensionado,True,Psiquicas,False,N/A,0,N/A,Fragancias,True,Otro
73,Cecilia Olga,Gómez Ruiz,94102900,CC,F,3515203079,cecil-gome@yahoo.com,A+,58,1965-01-12,Venezuela,Calle 189O # 24-2, Nariño,Aldana,524128,1.73,64,True,1,True,N/A,N/A,N/A,B1,mas,Solter@,1,False,0,N/A,Arriendo,Apartamento,Otro,True,False,3,True,Salud Vida,Maradoniano,Afroamericano,Empleado,True,Sensorial,False,N/A,0,N/A,Detergentes Ropa,False,N/A
74,Daniel Mauricio,Salazar Pinto,800959785,PaP,M,3040587645,dan-salazar7253@gmail.com,O-,50,1973-05-08,Peru,Cl. 33 Bis S # 15G-82, Tolima,Herveo,734713,1.60,58,False,0,True,Bachiller,Ensamblador de maquinaria mecánica,Rural,C1,mas,Union Libre,2,False,0,N/A,Arriendo,Casa,En Ruina,True,True,4,False,SISBEN,Catolica,N/A,Independiente,False,N/A,False,N/A,0,False,Polen,False,N/A
75,Diego Fernando,González Alzate,491433579,PaP,M,3246529890,digonzalez91@hotmail.com,O+,76,1947-10-12,Colombia,Cr. 40 # 87-2 Sur, Putumayo,Puerto Caicedo,867149,1.86,83,True,3,False,N/A,N/A,N/A,C1,3,Union Libre,5,False,0,N/A,Familiar,Casa,Otro,False,False,3,False,SISBEN,N/A,Mulato,Pensionado,False,N/A,False,N/A,0,False,Detergentes Ropa,True,Carencia Capital
76,Luis Óscar,Quintero Fonseca,958309728,CC,M,3050222018,luiquin893@yahoo.com,AB-,46,1977-11-30,Colombia,Cl. 7G # 46-3 Este, Sucre,San José de Toluviejo,704186,1.82,79,False,0,False,Bachiller,Electricista de obras,Urbana,A1,4,Separad@,3,True,3,varios,N/A,internado,Contruccion Activa,False,True,4,True,Famisanar,Satanista,N/A,Independiente,True,Fisicas,True,Perro,2,False,Alimentos,True,Otro
77,Jacqueline María,Serrano Mendoza,917042779,CC,F,3122424791,jacquelis@hotmail.com,O+,78,1945-08-03,Colombia,Carrera 68 # 69-35 Sur, Amazonas,Tarapacá,917039,1.97,83,False,0,True,Tecnico,Técnico en química industrial,Urbana,A1,2,Separad@,2,False,0,N/A,N/A,Inquilinato,Abandono,True,False,2,True,EPS Sura,Musulman,Mulato,Pensionado,False,N/A,False,N/A,0,N/A,Alimentos,True,Carencia de trabajo
78,Lucía Diana,García Camacho,109748570,PaP,F,3160655163,lu-garci1@hotmail.com,B+,79,1944-06-08,Venezuela,Avenida Pinchote # 3-8 Sur, Boyacá,Moniquirá,158884,1.53,77,False,0,False,Bachiller,Técnico en redes y sistemas de computadores,Urbana,C1,4,Separad@,2,False,0,N/A,Propia,Apartamento,Construccion Paralizada,False,True,otro,True,Comfenalco,Budista,N/A,Pensionado,True,Fisicas,True,Pajaros,5,N/A,Moho,False,N/A
79,Andrés Julio,Flórez Osorio,733941674,CC,M,3500154670,andrflorez3@outlook.com,B-,28,1995-08-30,Colombia,Cr. 64 # 7L-8 Sur, Huila,Oporapa,415205,1.64,45,False,0,False,Posgrado,Operador de instalaciones de tratamiento de agua,Particular,A2,3,Union Libre,6,False,0,N/A,Arriendo,Apartamento,Abandono,False,True,otro,True,Comfenalco,Budista,Mulato,Empleado,False,N/A,False,N/A,0,True,Polvo,False,N/A
80,Dario José,Martínez Jiménez,696615194,CC,M,3248812030,da-martinez069@outlook.com,B+,36,1987-11-10,Colombia,Carrera 45 # 90-13 Este, Huila,Hobo,418335,1.61,74,False,0,False,Pregrado,Acarreador de agua,Rural,A2,2,Solter@,1,False,0,N/A,Propia,Casa,Contruida,True,True,4,True,Comfenalco,Maradoniano,Afroamericano,Desempleado,False,N/A,False,N/A,0,False,Cosmeticos,False,N/A
81,Alexandra María,Miranda Medina,449527400,CC,F,3247891954,alexmir@hotmail.com,AB+,37,1986-01-06,Venezuela,Transversal 82 # 56-12 Este, Norte de Santander,San Calixto,542805,1.56,81,True,1,False,N/A,N/A,N/A,N/A,1,Union Libre,1,False,0,N/A,Familiar,Casa,Construccion Paralizada,True,False,1,False,SISBEN,Cristiana,N/A,Desempleado,True,Fisicas,False,N/A,0,N/A,N/A,False,N/A
82,Ana Yina,Londoño Ramírez,249391951,CC,F,3000773032,an-londo816@gmail.com,A+,40,1983-01-17,Colombia,Calle 6 Sur # 3-18 Este, Boyacá,Cuítiva,151786,1.83,77,False,0,True,Bachiller,Miembro del poder legislativo,Rural,A1,4,Viud@,2,False,0,N/A,Arriendo,Casa,En Ruina,False,False,4,False,SISBEN,Cristiana,N/A,Independiente,False,N/A,False,N/A,0,N/A,Gluten,False,N/A
83,María Mónica,Velasco Zapata,1173916863,CC,F,3057154397,ma_ve@outlook.com,A-,62,1961-05-04,Colombia,Calle 73H # 44-18 Este, Magdalena,El Retén,475815,1.78,53,True,3,False,Tecnologo,Peón de pesca y acuicultura,Particular,A2,2,Solter@,3,True,3,otro,Propia,Apartamento,Contruida,True,True,1,True,Compensar,Cristiana,Negro,Pensionado,True,Fisicas,False,N/A,0,N/A,Alimentos,True,Otro
84,Lucy Patricia,Garzón Pedraza,401395145,CC,F,3020868463,lu.garzon4@yahoo.com,B+,45,1978-06-11,Colombia,Avenida calle 3ª # 6-2 Este, Meta,Barranca de Upía,508276,1.82,88,True,1,True,Bachiller,Músico,Urbana,N/A,1,Solter@,2,False,0,N/A,Propia,Apartamento,En Ruina,True,False,3,True,Salud Total,Testigo de Jehova,Raizal,Empleado,True,Fisicas,False,N/A,0,N/A,Animales,True,Otro
85,Maritza Judith,Quintero Torres,764327295,CC,F,3164068552,maritza_qui58@outlook.com,B-,38,1985-11-05,Colombia,Avenida calle 73 # 90W-70 Sur, Antioquia,Apartadó,050353,1.52,76,True,2,True,Posgrado,Labrante,Particular,B1,3,Viud@,2,False,0,N/A,N/A,Campamento,Contruida,True,True,4,True,EPS Sura,Musulman,Afroamericano,Desempleado,True,Sensorial,True,Lagarto,2,N/A,Animales,True,Carencia Capital
86,Jesús Manuel,Londoño Gómez,427745671,CC,M,3050458008,jesu_lon9248@hotmail.com,O-,57,1966-10-03,Venezuela,Av. carrera 60 # 8M-8 Este, Caldas,Supía,170418,1.58,69,True,1,False,Maestria,Conductor de motocicletas,Particular,A1,4,Separad@,5,True,1,otro,Propia,Casa,En Ruina,False,False,1,False,SISBEN,Testigo de Jehova,Negro,Empleado,True,Sensorial,False,N/A,0,True,N/A,False,N/A
87,Stella Camila,Cardozo García,292742698,PaP,F,3201666779,stella.c@outlook.com,O+,32,1991-04-24,Colombia,Carrera 77 # 9-74 Sur, Antioquia,Caramanta,053387,1.74,46,False,0,False,Tecnico,Recolector de basura y material reciclable,Rural,A2,4,Casad@,3,False,0,N/A,Familiar,Apartamento,Abandono,True,False,2,False,SISBEN,Budista,N/A,Empleado,False,N/A,True,Roedor,1,N/A,Fragancias,True,Perdidad de cultivo
88,Alberto José,González Daza,958444806,CC,M,3047163318,alberto_gonzalez154@yahoo.com,A+,65,1958-11-29,Mexico,Calle 72 # 1-4,Pereira,Pereira,668135,1.56,51,False,0,False,Bachiller,Asistente veterinario,Particular,C1,2,Casad@,3,False,0,N/A,Arriendo,Apartamento,En Ruina,True,True,4,False,SISBEN,Maradoniano,N/A,Pensionado,False,N/A,True,Pajaros,4,True,Cosmeticos,True,Carencia de trabajo
89,Zoraida Andrea,Becerra Romero,1140659603,PaP,F,3006101406,zor.becerr7432@outlook.com,B-,79,1944-06-24,Colombia,Carrera 99 # 41R-9, Sucre,Caimito,702450,1.96,85,True,3,True,Pregrado,Fumigador,Rural,A2,4,Union Libre,2,False,0,N/A,N/A,internado,Contruida,True,True,1,True,Salud Vida,Musulman,Afrocolombiano,Pensionado,False,N/A,True,Gato,1,N/A,Polvo,False,N/A
90,Gustavo José,Ávila Mora,853162760,CC,M,3224234450,gustavoavil@hotmail.com,B+,22,2001-11-24,Ecuador,Carrera 6D # 8S-68, Sucre,San Benito Abad,707562,1.60,49,True,1,True,Posgrado,Empleado de centro de llamadas,Rural,A2,3,Viud@,2,False,0,N/A,N/A,Inquilinato,En Ruina,False,False,4,True,Salud Total,Cristiana,Gitano,Desempleado,False,N/A,True,Lagarto,3,False,Alimentos,False,N/A
91,Elver Omar,Santos González,475652911,CC,M,3192181731,elv.san4@yahoo.com,B-,50,1973-09-09,Ecuador,Cr. 57L # 6-89 Este, Boyacá,Almeida,152373,1.84,85,True,1,False,Tecnico,Entrevistador de encuestas,Particular,B2,mas,Divorciad@,3,False,0,N/A,Propia,Apartamento,Construccion Paralizada,True,False,3,True,Comfenalco,Musulman,N/A,Independiente,True,Psiquicas,True,Pez,5,True,Polen,False,N/A
92,Alfonso Javier,Chávez Reyes,788190935,CC,M,3104195163,alfons-ch1527@gmail.com,A-,65,1958-07-03,Peru,Transversal 145A # 16-29, Valle del Cauca,Vijes,767864,1.54,69,False,0,False,N/A,N/A,N/A,N/A,1,Separad@,4,True,1,otro,Familiar,Casa,Construccion Paralizada,False,True,otro,True,Compensar,Catolica,Mulato,Pensionado,False,N/A,True,Varios,4,True,Fragancias,False,N/A
93,Deyanira Lorena,Torres Morales,288464462,CE,F,3199557040,deyanir.to@outlook.com,A+,49,1974-03-12,España,Carrera 67 # 15-76, Antioquia,La Unión,051079,1.62,78,True,2,True,Bachiller,Asistente fisioterapeuta,Urbana,C1,3,Separad@,4,True,2,otro,Propia,Apartamento,Construccion Paralizada,True,False,otro,False,SISBEN,Cristiana,Afrocolombiano,Desempleado,False,N/A,True,Pajaros,3,N/A,Moho,False,N/A
94,Carlos Jairo,Pardo Cruz,1172689452,PaP,M,3052484934,cpa76@gmail.com,B+,48,1975-09-12,Colombia,Diagonal 138 # 9-3, Nariño,San Lorenzo,523098,1.59,64,False,0,False,N/A,N/A,N/A,C2,2,Casad@,6,True,2,varios,Arriendo,Apartamento,Contruida,True,True,4,True,Sanitas,Maradoniano,N/A,Empleado,True,Fisicas,False,N/A,0,False,Gluten,False,N/A
95,Paola Pilar,Torres Cano,910499321,PaP,F,3137688120,paoltor4@gmail.com,AB+,38,1985-03-27,Colombia,Cl. 88 # 34Z-67 Sur, Cundinamarca,Guatavita,251546,1.92,78,False,0,True,Tecnologo,Profesional de nivel medio de medicina tradicional y alternativa,Rural,C2,2,Union Libre,3,False,0,N/A,N/A,Inquilinato,Contruida,False,True,4,False,SISBEN,Maradoniano,N/A,Independiente,False,N/A,False,N/A,0,N/A,Fragancias,True,Familia muy grande
96,Ingrid María,Cortés Parada,966352311,CC,F,3239403351,in_co@gmail.com,A-,55,1968-12-26,España,Calle 4S # 2-9 Este, Antioquia,Jericó,053738,1.55,53,False,0,True,Tecnico,Planchador manuales,Urbana,N/A,1,Union Libre,4,True,2,moto,Arriendo,Casa,Abandono,True,False,4,True,EPS Sura,Satanista,Gitano,Independiente,False,N/A,True,Roedor,3,N/A,Detergentes Ropa,True,Perdidad de cultivo
97,Jaime Cristian,Riascos Quintero,315677009,CC,M,3194104156,jariasco12@hotmail.com,B-,26,1997-04-27,Ecuador,Cl. 52 # 8-31 Sur, Nariño,Magüí,529080,1.58,88,False,0,False,Tecnologo,Empleado de ventanillas de informaciones,Particular,A1,2,Separad@,1,False,0,N/A,N/A,internado,Contruida,False,True,2,False,SISBEN,Catolica,Afrocolombiano,Independiente,True,Psiquicas,False,N/A,0,True,Moho,True,Carencia Capital
98,Alix Elizabeth,Sarmiento Valencia,806558048,CC,F,3176995554,ali_sa257@yahoo.com,B-,62,1961-01-30,Venezuela,Cl. 31 # 7D-4 Este, Córdoba,Los Córdobas,237836,1.73,71,False,0,False,Tecnologo,Director de servicios de educación,Rural,A1,3,Separad@,3,True,1,carro,Familiar,Apartamento,Otro,False,False,2,True,EPS Sura,Musulman,Afroamericano,Pensionado,True,Fisicas,True,Lagarto,5,N/A,Animales,True,Familia muy grande
99,Hernán Alexis,Rodríguez Jiménez,161476894,CC,M,3518051996,hernarodrigu7346@hotmail.com,A+,52,1971-04-22,Colombia,Avenida Monterrey # 5-12, La Guajira,Villanueva,445672,1.98,81,False,0,True,N/A,N/A,N/A,B2,2,Divorciad@,2,False,0,N/A,Propia,Casa,Contruida,True,False,4,False,SISBEN,Satanista,N/A,Independiente,True,Sensorial,False,N/A,0,True,Moho,True,Perdidad de cultivo
